Center,Team,Minutes,P/M,Possessions,Pts,FG2M,FG2A,2pt FG%,FG3M,FG3A,3pt FG%,Non-Heave 3pt FG%,FT Pts,AST2 Pts,UAST2 2s Pts,AST3 Pts,UAST3 Pts,2pt AST%,Non Putback 2pt AST%,3pt AST%,3PAr,Shot Quality,eFG%,TS%,PUT,FG2AB,% of FG2AB,FG3AB,% of FG3AB,Reb,DReb,FT DReb,FT DReb%,2Pt DReb,2Pt DReb%,3Pt DReb,3Pt DReb%,FG DReb%,OReb,FT OReb,FT OReb%,2Pt OReb,2Pt OReb%,3Pt OReb,3Pt OReb%,FG OReb%,Rim DReb%,SMR DReb%,LMR DReb%,AB3 DReb%,C3 DReb%,Rim OReb%,SMR OReb%,LMR OReb%,AB3 OReb%,C3 OReb%,Z-Bounds,Z-Bound Pct,Shot Quality,Rim or 3 Freq,Avg 2pt Shot Distance,Avg 3pt Shot Distance,Rim FGM,Rim FGA,Rim Freq,Rim FG%,Unblocked Rim FG%,Rim %AST,% of Rim FGAB,SMR FGM,SMR FGA,SMR Freq,SMR FG%,Unblocked SMR FG%,SMR %AST,% of SMR FGAB,LMR FGM,LMR FGA,LMR Freq,LMR FG%,Unblocked LMR FG%,LMR %AST,% of LMR FGAB,C3 FGM,C3 FGA,C3 Freq,C3 FG%,Unblocked C3 FG%,C3 %AST,% of C3 FGAB,AB3 FGM,AB3 FGA,AB3 Freq,AB3 FG%,Unblocked AB3 FG%,AB3 %AST,% of AB3 FGAB,Non-Heave AB3 FGM,Non-Heave AB3 FGA,Non-Heave AB3 FG%,Heaves,Heaves Made,Possessions,Pts,Pts%,FG2M,FG2A,2pt FG%,FG3M,FG3A,3pt FG%,FT Pts,eFG%,TS%,Shot Quality,Rim FGM,Rim FGA,Rim Freq,Rim FG%,Rim %AST,C3 FGM,C3 FGA,C3 Freq,C3 FG%,C3 %AST,AB3 FGM,AB3 FGA,AB3 Freq,AB3 FG%,AB3 %AST,TOs
Draymond Green,GSW,4130,-925,8732,9480,2307,4640,49.72%,1025,2925,35.04%,35.42%,1791,2194,2420,2388,687,47.55%,52.41%,77.66%,38.66%,0.5,50.82%,55.08%,428,405,8.73%,60,2.05%,4239,3073,165,90.66%,1258,74.75%,1650,82.38%,78.89%,1166,24,9.56%,729,31.76%,413,23.00%,27.91%,68.59%,75.29%,82.52%,82.04%,83.60%,37.82%,31.60%,24.51%,22.15%,26.61%,145,3.98%,0.5,64.49%,7.37,26.14,1245,1954,25.83%,63.72%,70.70%,50.44%,9.88%,744,1796,23.74%,41.43%,46.30%,45.83%,10.52%,318,890,11.76%,35.73%,36.68%,40.25%,2.58%,260,616,8.14%,42.21%,43.41%,95.00%,2.76%,765,2309,30.52%,33.13%,33.76%,71.76%,1.86%,763,2270,33.61%,37,2,1037,1159,12.23%,376,705,53.33%,70,235,29.79%,197,51.17%,54.54%,0.54,288,497,52.87%,57.95%,14.58%,21,56,5.96%,37.50%,66.67%,49,179,19.04%,27.37%,83.67%,135
PJ Tucker,HOU,1882,-165,3922,4379,1124,2118,53.07%,454,1326,34.24%,34.52%,769,1166,1082,1083,279,51.87%,56.93%,79.52%,38.50%,0.51,52.41%,56.29%,200,180,8.50%,17,1.28%,2162,1595,94,94.00%,493,75.38%,1008,82.02%,79.71%,567,12,10.81%,342,34.79%,213,25.45%,30.49%,75.07%,69.12%,92.59%,82.94%,79.59%,46.41%,31.53%,20.41%,25.98%,23.76%,76,4.67%,0.51,70.73%,6.41,25.82,746,1110,32.23%,67.21%,73.50%,56.43%,8.56%,263,692,20.09%,38.01%,42.56%,42.21%,10.69%,115,316,9.18%,36.39%,37.70%,44.35%,3.48%,129,334,9.70%,38.62%,39.09%,96.90%,1.20%,325,992,28.80%,32.76%,33.20%,72.62%,1.31%,325,981,33.13%,11,0,462,588,13.43%,175,317,55.21%,41,119,34.45%,115,54.24%,58.47%,0.54,132,222,50.92%,59.46%,15.91%,13,39,8.94%,33.33%,92.31%,28,80,18.35%,35.00%,75.00%,51
Marcus Morris/Nic Batum,LAC,524,-71,1036,1234,295,538,54.83%,140,391,35.81%,36.18%,224,264,326,288,132,44.75%,49.62%,68.57%,42.09%,0.51,54.36%,58.29%,58,39,7.25%,8,2.05%,509,356,15,100.00%,149,78.01%,192,79.34%,78.75%,153,2,7.41%,81,34.32%,70,29.29%,31.79%,67.16%,81.08%,88.00%,79.88%,78.08%,31.48%,40.63%,25.00%,31.67%,22.03%,22,5.10%,0.51,72.87%,6.03,26.15,175,286,30.79%,61.19%,67.05%,52.00%,8.74%,86,183,19.70%,46.99%,50.29%,32.56%,6.56%,34,69,7.43%,49.28%,50.75%,38.24%,2.90%,32,95,10.23%,33.68%,34.41%,96.88%,2.11%,108,296,31.86%,36.49%,37.24%,60.19%,2.03%,108,292,36.99%,4,0,126,152,12.32%,49,86,56.98%,9,44,20.45%,27,48.08%,52.07%,0.61,39,68,52.31%,57.35%,12.82%,0,13,10.00%,0,0,9,31,23.85%,29.03%,44.44%,8
Maxi Kleber,DAL,2079,39,4190,4794,1292,2389,54.08%,466,1346,34.62%,35.01%,812,1204,1380,1137,261,46.59%,51.10%,81.33%,36.04%,0.51,53.31%,57.07%,228,153,6.40%,7,0.52%,2184,1656,108,91.53%,568,72.63%,980,80.20%,77.25%,528,15,11.72%,333,31.33%,180,21.38%,26.93%,73.00%,69.41%,81.54%,81.30%,77.00%,38.46%,29.94%,22.39%,20.73%,23.66%,89,5.09,0.51,65.97%,6.66,25.68,757,1118,29.93%,67.71%,73.71%,50.20%,8.14%,381,904,24.20%,42.15%,45.14%,44.62%,6.64%,154,367,9.83%,41.96%,42.19%,33.77%,0.54%,136,326,8.73%,41.72%,41.85%,97.79%,0.31%,330,1020,27.31%,32.35%,32.54%,74.55%,0.59%,330,1005,32.84%,15,0,482,605,12.62%,195,329,59.27%,40,109,36.70%,95,58.22%,61.28%,0.55,157,230,52.51%,68.26%,19.75%,10,25,5.71%,40.00%,100.00%,30,84,19.18%,35.71%,76.67%,43
Bam Adebayo,MIA,5723,-473,11326,12479,2990,5536,54.01%,1487,4334,34.31%,34.39%,2038,3078,2902,3561,900,51.47%,56.89%,79.83%,43.91%,0.52,52.89%,56.67%,570,413,7.46%,32,0.74%,5421,4100,253,93.36%,1879,72.46%,1968,79.48%,75.89%,1321,27,10.04%,725,28.97%,569,20.44%,24.48%,63.92%,74.04%,82.27%,78.96%,80.79%,34.13%,30.06%,16.97%,19.86%,22.08%,164,3.38%,0.52,71.90%,6.66,25.65,1838,2763,27.99%,66.52%,72.53%,55.28%,8.29%,798,1906,19.31%,41.87%,45.81%,45.24%,8.60%,354,867,8.78%,40.83%,41.79%,45.76%,2.31%,422,1151,11.66%,36.66%,37.08%,95.02%,1.13%,1065,3183,32.25%,33.46%,33.66%,73.80%,0.60%,1064,3169,33.58%,13,1,1157,1406,11.27%,455,777,58.56%,88,287,30.66%,232,55.17%,59.11%,0.55,360,565,53.10%,63.72%,18.33%,27,95,8.93%,28.42%,85.19%,61,192,18.05%,31.77%,90.16%,132
Onyeka Okongwu,ATL,1130,-124,2255,2509,640,1212,52.81%,271,827,32.77%,33.17%,416,634,646,651,162,49.53%,54.47%,80.07%,40.56%,0.53,51.32%,55.21%,116,100,8.25%,3,0.36%,1117,797,37,97.37%,373,69.85%,387,76.33%,73.01%,320,5,9.26%,188,33.87%,127,24.01%,29.06%,64.67%,67.53%,80.15%,75.68%,78.85%,42.93%,33.48%,20.16%,22.58%,28.57%,51,5.18%,0.53,70.08%,6.68,25.7,400,602,29.52%,66.45%,73.39%,61.00%,9.47%,159,396,19.42%,40.15%,44.79%,28.30%,10.35%,81,214,10.50%,37.85%,38.21%,34.57%,0.93%,71,198,9.71%,35.86%,36.04%,92.96%,0.51%,200,629,30.85%,31.80%,31.90%,75.50%,0.32%,200,619,32.31%,10,0,263,321,12.79%,99,186,53.23%,21,72,29.17%,60,50.58%,54.44%,0.55,78,130,50.39%,60.00%,21.79%,6,16,6.20%,37.50%,100.00%,15,56,21.71%,26.79%,73.33%,28
Giannis Antetokounmpo,MIL,1933,-367,4087,4365,1062,2070,51.30%,501,1563,32.05%,32.43%,738,984,1140,1200,303,46.33%,50.10%,79.84%,43.02%,0.51,49.92%,53.73%,160,188,9.08%,11,0.70%,2005,1499,132,85.16%,625,72.93%,742,79.44%,76.33%,506,14,15.22%,279,28.15%,213,20.99%,24.53%,69.55%,70.64%,84.30%,79.50%,79.25%,32.07%,28.76%,21.10%,20.38%,23.26%,55,3.04%,0.51,68.98%,7.41,26.29,575,943,25.96%,60.98%,70.04%,52.52%,12.94%,289,682,18.77%,42.38%,46.02%,37.72%,7.92%,198,445,12.25%,44.49%,45.73%,40.91%,2.70%,127,345,9.50%,36.81%,37.24%,92.13%,1.16%,374,1218,33.53%,30.71%,30.88%,75.67%,0.57%,374,1200,31.17%,18,0,427,475,10.88%,139,268,51.87%,41,124,33.06%,74,51.15%,53.64%,0.54,107,191,48.72%,56.02%,15.89%,14,39,9.95%,35.90%,92.86%,27,85,21.68%,31.76%,88.89%,59
Anthony Davis,LAL,2540,-250,5317,5695,1448,2763,52.41%,582,1757,33.12%,33.37%,1053,1458,1438,1383,363,50.35%,54.57%,79.21%,38.87%,0.52,51.35%,55.43%,224,289,10.46%,31,1.76%,2544,1936,169,83.25%,864,71.82%,903,79.00%,75.32%,608,12,7.06%,366,28.62%,230,20.72%,24.95%,64.17%,71.39%,83.58%,80.17%,76.01%,32.89%,29.71%,18.28%,19.43%,25.65%,71,3.41%,0.52,71.70%,6.38,25.94,952,1484,32.83%,64.15%,72.18%,54.10%,11.12%,315,815,18.03%,38.65%,44.55%,44.44%,13.25%,181,464,10.27%,39.01%,40.40%,40.88%,3.45%,133,365,8.08%,36.44%,36.84%,94.74%,1.10%,449,1392,30.80%,32.26%,32.89%,74.61%,1.94%,448,1375,32.58%,16,1,546,603,10.59%,194,335,57.91%,42,139,30.22%,89,54.22%,56.69%,0.55,161,246,51.90%,65.45%,17.39%,11,31,6.54%,35.48%,81.82%,31,108,22.78%,28.70%,96.77%,87
Pascal Siakam,TOR,3627,-566,7421,8032,2012,3993,50.39%,893,2602,34.32%,34.47%,1329,2182,1842,2334,345,54.22%,59.16%,87.12%,39.45%,0.52,50.82%,54.57%,336,335,8.39%,38,1.46%,3696,2726,130,90.91%,1302,72.05%,1294,79.34%,75.51%,970,22,12.29%,612,31.32%,336,20.28%,26.25%,62.56%,72.31%,86.47%,80.62%,75.43%,35.96%,32.09%,21.39%,20.35%,20.09%,145,4.47%,0.52,70.16%,6.68,25.6,1260,2025,30.71%,62.22%,69.31%,58.73%,10.22%,476,1264,19.17%,37.66%,41.36%,45.80%,8.94%,276,704,10.67%,39.20%,40.06%,48.19%,2.13%,282,734,11.13%,38.42%,39.55%,97.87%,2.86%,611,1868,28.32%,32.71%,33.01%,82.16%,0.91%,609,1849,32.94%,17,2,833,1000,12.45%,285,560,50.89%,86,240,35.83%,172,51.75%,55.77%,0.53,221,396,49.50%,55.81%,21.27%,26,70,8.75%,37.14%,96.15%,60,170,21.25%,35.29%,85.00%,93
Overall,ALL,0,0,983489,1100606,283413,538865,52.59%,120437,336456,35.80%,35.99%,172469,287232,279594,295905,65406,50.67%,55.34%,81.90%,38.44%,0.52,53.02%,56.46%,47836,45150,8.38%,2725,0.81%,486020,362461,22107,88.63%,174834,69.32%,165520,79.24%,73.82%,123559,2836,11.37%,77366,30.68%,43357,20.76%,26.18%,62.52%,69.50%,80.84%,79.90%,77.04%,37.48%,30.50%,19.16%,20.10%,22.96%,17178,4.15%,0.52,69.10%,6.73,25.66,171905,268359,30.66%,64.06%,71.13%,55.45%,9.94%,72664,175360,20.03%,41.44%,45.83%,42.88%,9.58%,38844,95146,10.87%,40.83%,41.56%,44.10%,1.76%,30693,79482,9.08%,38.62%,39.03%,95.58%,1.06%,89744,256974,29.36%,34.92%,35.18%,77.22%,0.73%,89682,254882,35.19%,2030,62,107438,129899,11.80%,39958,72828,54.87%,10305,28488,36.17%,19068,54.70%,57.59%,0.55,31608,52228,51.55%,60.52%,18.34%,2953,7782,7.68%,37.95%,90.04%,7352,20706,20.44%,35.51%,84.73%,11264